date,apple_driving,apple_transit,apple_walking,apple,google_retail,google_grocery,google_workplaces,google_residential,google,applegoogle
2020-04-07,-2.925139296194003,-3.666530273610317,-3.0966737282383154,-3.293750272028282,-3.650982027192069,-3.05368546806754,-5.494895000244848,3.8015521173031863,-4.193424910488637,-3.7435875912584593
2020-04-08,-2.9240757933335444,-3.6677397176105186,-3.088853845086199,-3.2910600460394153,-3.650982027192069,-3.001707843079156,-5.494895000244848,3.8015521173031863,-4.180531982247319,-3.735796014143367
2020-04-09,-2.9370403996324654,-3.6743412661116173,-3.0976874167950723,-3.3007042524145946,-3.697875374330316,-3.287584780515266,-5.534930665091805,3.825612573741814,-4.286898640238191,-3.793801446326393
2020-04-10,-2.962463182296755,-3.6769113346120452,-3.0977839585623816,-3.310094663885164,-3.7313706222862058,-3.4175288429862256,-5.665046575844415,3.921854399496326,-4.377149137927416,-3.84362190090629
2020-04-11,-2.949042789057638,-3.6729806416113906,-3.079923731610016,-3.2980309460860364,-3.71797252310385,-3.3785456242449374,-5.665046575844415,3.921854399496326,-4.361032977625769,-3.8295319618559027
2020-04-12,-2.9320773862836593,-3.66768932411051,-3.047968406630378,-3.2793854804273566,-3.7112734735126716,-3.3785456242449374,-5.655037659632676,3.921854399496326,-4.354586513505111,-3.816985996966234
2020-04-13,-2.9217968586325624,-3.6636074506098306,-3.0314597644203527,-3.2687937730749668,-3.724671572695028,-3.469506467974609,-5.645028743420936,3.9459148559349537,-4.380372369987746,-3.8245830715313565
2020-04-14,-2.8847261874965855,-3.6599287251092183,-3.0354662477637215,-3.2565777783330736,-3.7045744239214935,-3.4305232492333215,-5.5249217488800655,3.8737334866190696,-4.322354192901815,-3.7894659856174444
2020-04-15,-2.8673049977824103,-3.6566531476086728,-3.046182383935141,-3.253413801855602,-3.7045744239214935,-3.4954952804688006,-5.494895000244848,3.8737334866190696,-4.328800657022474,-3.7911072294390378
2020-04-16,-2.829424038752751,-3.6455665776068273,-3.0005663988811255,-3.221046491687676,-3.6442829776008905,-3.1966239367855946,-5.404814754339195,3.825612573741814,-4.196648142548966,-3.7088473171183214
2020-04-17,-2.777413684577003,-3.6355886646051667,-2.9630116513975016,-3.187156412092091,-3.5973896304626436,-3.05368546806754,-5.244672094951366,3.6812498351100476,-4.087058252497764,-3.6371073322949274
2020-04-18,-2.7648542222249235,-3.6320611196045793,-2.9619979628407456,-3.1814206472479056,-3.604088680053822,-3.079674280561732,-5.214645346316149,3.65718937867142,-4.087058252497765,-3.634239449872835
2020-04-19,-2.7546749805605364,-3.630045379604244,-2.9705419092476886,-3.1803377889882363,-3.604088680053822,-3.092668686808828,-5.184618597680931,3.65718937867142,-4.080611788377106,-3.630474788682671
2020-04-20,-2.74312837807556,-3.626467441103648,-2.973486433150646,-3.1763109098350917,-3.5973896304626436,-3.092668686808828,-5.154591849045714,3.633128922232792,-4.067718860135788,-3.6220148849854397
2020-04-21,-2.7230231097135613,-3.6215288781028265,-2.9469857180240275,-3.1586467844742367,-3.583991531280288,-3.040691061820444,-5.124565100410496,3.5850080093555374,-4.038709771592823,-3.59867827803353
2020-04-22,-2.703525557271825,-3.6137178856015257,-2.911554889421226,-3.137091137242696,-3.5638943825067533,-2.9757190305849646,-5.094538351775277,3.560947552916909,-4.003254218929199,-3.5701726780859477
2020-04-23,-2.6885352312386983,-3.6073683046004694,-2.912858203279912,-3.1304078714213004,-3.5504962833243967,-2.936735811843677,-5.084529435563539,3.560947552916909,-3.9839148265672217,-3.557161348994261
2020-04-24,-2.6793688494414143,-3.606058073600251,-2.9295599290245575,-3.1327597042040196,-3.537098184142041,-2.923741405596581,-5.064511603140061,3.560947552916909,-3.967798666265574,-3.550279185234797
2020-04-25,-2.677241843720498,-3.6080738136005865,-2.9791823974219414,-3.1501192756793417,-3.5504962833243967,-2.98871343683206,-5.054502686928321,3.536887096478281,-3.987138058627551,-3.5686286671534466
2020-04-26,-2.6747096940527397,-3.6093336511007963,-3.0213711497364484,-3.164484067280267,-3.557195332915575,-3.0147022493262523,-5.054502686928321,3.536887096478281,-3.9968077548085397,-3.580645911044403
2020-04-27,-2.668835106823541,-3.6118029326012073,-3.0651528412115727,-3.178696581938425,-3.5705934320979313,-3.027696655573348,-5.054502686928321,3.536887096478281,-4.006477450989528,-3.5925870164639764
2020-04-28,-2.658048149238892,-3.608880109600721,-3.0888538450861986,-3.182418907206038,-3.57729248168911,-3.040691061820444,-5.044493770716581,3.536887096478281,-4.009700683049857,-3.596059795127948
2020-04-29,-2.640120529591166,-3.6046470556000165,-3.086488571787102,-3.1741790326363675,-3.57729248168911,-3.0147022493262523,-5.0244759382931035,3.5128266400396533,-3.9968077548085397,-3.5854933937224533
2020-04-30,-2.631460577727433,-3.600867543099387,-3.1064244467366344,-3.1770046159076917,-3.583991531280288,-3.0147022493262523,-5.004458105869625,3.5128266400396533,-3.99358452274821,-3.5852945693279508
2020-05-01,-2.616723466661082,-3.592250254597953,-3.0960462067508003,-3.1655500058796284,-3.583991531280288,-2.98871343683206,-4.994449189657885,3.4887661836010255,-3.9839148265672213,-3.5747324162234246
2020-05-02,-2.5897307512027825,-3.579399912095814,-3.04492734096011,-3.134299393291987,-3.557195332915575,-2.8847581868552927,-4.9744313572344065,3.4887661836010255,-3.9387895777226087,-3.5365444855072976
2020-05-03,-2.5603578150567903,-3.566347995593641,-2.9891261994548803,-3.1005446709788598,-3.530399134550863,-2.7808029368785254,-4.944404608599189,3.4406452707237705,-3.890441096817667,-3.4954928838982635
2020-05-04,-2.5318964527911905,-3.5514819130911666,-2.926277508936014,-3.0640151243753304,-3.4835057874126165,-2.611875655666279,-4.914377859963971,3.3925243578465145,-3.816306759430089,-3.4401609419027097
2020-05-05,-2.550533074345889,-3.5419575415895816,-2.886116133735018,-3.0529665861946427,-3.490204837003794,-2.6248700619133745,-5.044493770716581,3.4647057271623978,-3.8646552403350314,-3.458810913264837
2020-05-06,-2.5454687750103733,-3.5283512965873163,-2.859084438888194,-3.037231302108824,-3.490204837003794,-2.611875655666279,-5.034484854504842,3.4647057271623978,-3.858208776214372,-3.447720039161598
