date,apple_driving,apple_walking,apple,google_retail,google_grocery,google_workplaces,google_residential,google,telco,applegoogle
2020-12-30,-0.5013626152005781,0.0279219700282019,-0.2345003650987808,-1.958565332789902,-1.1653196102955397,-6.0116416340819985,2.804492858825962,-3.406761172224874,-1.1659330931060488,-1.8206307686618273
2020-12-31,-0.48314336660919915,0.08641998677011781,-0.19570399425581253,-1.9454205990127886,-1.1493563279627241,-5.989458454620441,2.897975954120161,-3.387813668486137,-0.9666845424033007,-1.791758831370975
2021-01-01,-0.5109443846579346,0.10304858967731093,-0.20103573982265494,-1.9782824334555722,-1.2451360219596181,-5.634527583235525,2.7733318270612295,-3.3082341527834425,-0.8449848310986754,-1.7546349463030486
2021-01-02,-0.5354681598198064,0.1132044953616705,-0.20803451694915628,-2.050578469229696,-1.484585256951852,-5.268505122119833,2.6486877000022973,-3.281707647549211,-0.7151280239289189,-1.7448710822491837
2021-01-03,-0.5711845526376631,0.0876386954522405,-0.2387574952800584,-2.287183677217738,-2.282749373592633,-4.924665840465695,2.5863656364728316,-3.4901301886753155,-0.6003520490047649,-1.864443841977687
2021-01-04,-0.5596308827992273,-0.040813199643549625,-0.2983710949382703,-2.2477494758863976,-2.2987126559254487,-4.458819071772995,2.492882541178633,-3.3120236535311895,-0.465933083735426,-1.80519737423473
2021-01-05,-0.48711494061616106,0.012918312030506553,-0.2350652270322191,-2.050578469229696,-1.3728422806221428,-3.9153311749648436,2.3059163505902354,-2.7928620510898026,-0.21459264651385931,-1.5139636390610107
2021-01-06,-0.48414320342214046,0.0060935434106159985,-0.23706290947974437,-2.057150836118253,-1.3728422806221428,-3.8598732263109508,2.3059163505902354,-2.7777040480988124,-0.1821010683204875,-1.5073834787892784
2021-01-07,-0.4736449168862541,0.014949493167378983,-0.22735003964867417,-2.0440061023411396,-1.3728422806221428,-3.8155068673878363,2.2435942870607697,-2.7549670436123286,-0.14499820831820534,-1.4911585416305013
2021-01-08,-0.47095091214027285,0.00327697223415351,-0.23195159783814556,-2.0834403036724796,-1.5005485392846676,-3.8376900468493935,2.2747553188255027,-2.815599055576286,-0.1567371938472461,-1.5237753267072158
2021-01-09,-0.45475911041958045,0.027867805197885107,-0.21140991142945736,-2.0834403036724796,-1.5165118216174833,-3.8487816365801724,2.2435942870607697,-2.823178057071781,-0.13965039816859898,-1.5172939842506192
2021-01-10,-0.44178900509614427,0.0279219700282019,-0.20494844199573856,-2.0768679367839233,-1.5644016686159303,-3.8598732263109508,2.2124332552960366,-2.834546559315023,-0.12278109252513342,-1.519747500655381
2021-01-11,-0.42170894910290146,0.03547796385736572,-0.19114376742732414,-2.0637232030068096,-1.5484383862831144,-3.8598732263109508,2.1812722235313036,-2.823178057071781,-0.10090106509583885,-1.5071609122495526
2021-01-12,-0.39660193580014724,0.06911432348396736,-0.16157806720395423,-2.057150836118253,-1.5644016686159303,-3.870964816041729,2.1189501600018383,-2.826967557819528,-0.07451129366515671,-1.4942728125117413
2021-01-13,-0.3778272223126892,0.08311593212080591,-0.14514196265293813,-2.0440061023411396,-1.5484383862831144,-3.9042395852340652,2.087789128237105,-2.826967557819528,-0.036071985517999984,-1.486054760236233
2021-01-14,-0.3724392128207264,0.11426070955284452,-0.1266255129324303,-2.050578469229696,-1.5803649509487459,-3.937514354426401,2.087789128237105,-2.849704562306012,-0.035270505751838925,-1.488165037619221
2021-01-15,-0.3504428029360123,0.15889252973371387,-0.09300933933269918,-2.037433735452583,-1.5644016686159303,-3.937514354426401,2.025467064707639,-2.8383360600627703,-0.019829670963767847,-1.4656726996977347
2021-01-16,-0.3416109110883618,0.1607882987947939,-0.08766381664552864,-2.050578469229696,-1.6122915156143773,-3.9486059441571797,2.025467064707639,-2.8610730645492546,-0.14473297963283666,-1.4743684405973916
2021-01-17,-0.3202255125893342,0.1770648303049287,-0.06877538467617123,-2.050578469229696,-1.6442180802800084,-3.937514354426401,2.025467064707639,-2.8648625652970017,-0.1780905521300744,-1.4668189749865865
2021-01-18,-0.3069776748178587,0.17996264872686638,-0.06072954640476064,-2.050578469229696,-1.6761446449456394,-3.9264227646956225,2.025467064707639,-2.8686520660447488,-0.19062702529849687,-1.4646908062247548
2021-01-19,-0.3033949262381517,0.16734224326310135,-0.0653724359552155,-2.050578469229696,-1.6761446449456394,-3.9153311749648436,2.025467064707639,-2.8648625652970017,-0.2010441552185842,-1.4651175006261086
2021-01-20,-0.27876005809706395,0.20582635520303746,-0.03357484223874811,-2.037433735452583,-1.6442180802800084,-3.8487816365801724,2.025467064707639,-2.826967557819528,-0.19666880525757036,-1.4302712000291382
2021-01-21,-0.25295871367421113,0.23450663285567144,-0.006185927027164068,-2.0242890016754695,-1.6122915156143773,-3.8155068673878363,1.9943060329429063,-2.8004410525852963,-0.1904804359074687,-1.4033134898062303
2021-01-22,-0.24584876300440495,0.24964570292915791,0.005042426039959771,-2.004571901009799,-1.5803649509487459,-3.804415277657058,1.9631450011781737,-2.7777040480988124,-0.1770896671691484,-1.3863308110294263
2021-01-23,-0.23732237684959784,0.28761524898108665,0.028587524680099247,-1.9914271672326858,-1.5644016686159303,-3.7933236879262795,1.9319839694134409,-2.762546045107823,-0.03855579803400078,-1.366979260213862
2021-01-24,-0.23629476679185235,0.2945212648464524,0.032610443815804656,-1.9914271672326858,-1.5324751039502988,-3.7933236879262795,1.900822937648708,-2.7549670436123286,0.003912652715960436,-1.361178299898262
2021-01-25,-0.22426895179174974,0.33828644774225564,0.06083976336738222,-1.9782824334555722,-1.452658692286221,-3.7822320981955,1.8696619058839747,-2.724651037630349,0.04624910324814264,-1.3319056371314835
2021-01-26,-0.19699562539428897,0.39345332741970124,0.10243288963688559,-1.9388482321242322,-1.2770625866252492,-3.771140508464722,1.807339842354509,-2.6564400241708968,0.09307234599277345,-1.2770035672670055
2021-01-27,-0.1872749897129127,0.410379836893635,0.11586558195645064,-1.919131131458562,-1.1972461749611711,-3.7822320981955,1.7761788105897758,-2.629913518936666,0.11354125241359606,-1.2570239684901077
2021-01-28,-0.18533086257663736,0.42023783601125436,0.12184485217869784,-1.8862692970157782,-1.1014664809642774,-3.748957329003165,1.745017778825043,-2.576860508468202,0.18703894587678352,-1.2275078281447522
2021-01-29,-0.18010949255349773,0.46489673860728215,0.14715342222079036,-1.8862692970157782,-1.0216500693001993,-3.748957329003165,1.745017778825043,-2.5579130047294654,0.2085823833708389,-1.2053797912543376
2021-01-30,-0.1812204223456554,0.45284506386184126,0.1404715188618275,-1.8796969301272213,-0.9418336576361213,-3.7378657392723866,1.745017778825043,-2.5313864994952344,0.21185876431916964,-1.1954574903167035
2021-01-31,-0.17266626294604465,0.4660342000439305,0.15142432952239565,-1.866552196350108,-0.8620172459720431,-3.726774149541608,1.745017778825043,-2.5010704935132555,0.2324269908404313,-1.17482308199543
2021-02-01,-0.17216634453957386,0.4474014984150242,0.14219365890279753,-1.866552196350108,-0.8300906813064121,-3.715682559810829,1.745017778825043,-2.4897019912700133,0.22563387861220466,-1.173754166183608
2021-02-02,-0.16947233979359208,0.4310978844897301,0.13523621313727896,-1.8731245632386648,-0.8779805283048588,-3.7045909700800506,1.7761788105897758,-2.5010704935132555,0.17015235229956963,-1.1829171401879883
2021-02-03,-0.1663895096203554,0.42272941820581783,0.13250834331238315,-1.8796969301272213,-0.8939438106376745,-3.6824077906184933,1.807339842354509,-2.5010704935132555,0.14137093502731388,-1.1842810751004362
2021-02-04,-0.1686669156942776,0.3836765755475571,0.11151201193287888,-1.8994140307928917,-0.9577969399689369,-3.7045909700800506,1.838500874119242,-2.5351760002429815,0.0189267726036468,-1.2118319941550513
2021-02-05,-0.1700278046896707,0.33056795942214146,0.08382000007408406,-1.9059863976814484,-0.9897235046345682,-3.6824077906184933,1.8696619058839747,-2.5389655009907286,-0.026393870695185943,-1.2275727504583223
2021-02-06,-0.16669501531319908,0.30418968705796257,0.07205433931417793,-1.9059863976814484,-1.0216500693001993,-3.6491330214261577,1.900822937648708,-2.5351760002429815,-0.06166682051356147,-1.2315608304644017
2021-02-07,-0.1612792325764321,0.30402719256701305,0.07465821505612429,-1.8796969301272213,-0.9737602223017525,-3.6047666625030432,1.8696619058839747,-2.493491492017761,-0.07287893794323969,-1.2094166384808183
2021-02-08,-0.16180692422770704,0.2967420228894319,0.07069040440172956,-1.8599798294615515,-0.9418336576361213,-3.571491893310707,1.8696619058839747,-2.4631754860357824,-0.08176182965939523,-1.1962425408170265
2021-02-09,-0.1590295997473138,0.3151039003667555,0.08140900401672599,-1.8468350956844382,-0.8779805283048588,-3.5382171241183715,1.838500874119242,-2.429069979306056,-0.04754970798135551,-1.173830487644665
2021-02-10,-0.1204525627146522,0.39142214628282923,0.1393693492356071,-1.8074008943530975,-0.7343109873095183,-3.527125534387593,1.7761788105897758,-2.368437967342098,-0.024046825926924656,-1.1145343090532456
2021-02-11,-0.06959975147865305,0.4964748346818534,0.21803670630710914,-1.728532491690417,-0.5108250346500997,-3.460575996002921,1.745017778825043,-2.2471739434141824,0.07049122044806469,-1.0145686185535365
2021-02-12,-0.04016011198648568,0.5273217055471505,0.24833259390785076,-1.7153877579133034,-0.43100862298602155,-3.4716675857337003,1.745017778825043,-2.2244369389276986,0.11200453927026388,-0.9880521725099239
2021-02-13,0.006248980080884636,0.6010671220231865,0.30886926062802245,-1.70224302413619,-0.3352289289891279,-3.493850765195257,1.745017778825043,-2.201699934441214,0.15149863791318213,-0.9464153369065957
2021-02-14,0.04315962242531042,0.6377096297323589,0.3458194973470712,-1.7153877579133034,-0.28733908199068103,-3.5382171241183715,1.7761788105897758,-2.213068436684456,0.17846248236101453,-0.9336244696686924
2021-02-15,0.10292764524337158,0.7106154913384868,0.41255586821473456,-1.708815391024747,-0.19155938799378736,-3.571491893310707,1.7761788105897758,-2.197910433693467,0.20056642069702774,-0.8926772827393663
2021-02-16,0.1558356765948617,0.7512120316607709,0.45945318581042477,-1.6956706572476332,-0.15963282332815615,-3.6047666625030432,1.7761788105897758,-2.1941209329457196,0.22219841339018784,-0.8673338735676475
2021-02-17,0.16669501531319955,0.7157882326337207,0.4468195664698705,-1.728532491690417,-0.22348595265941862,-3.571491893310707,1.7761788105897758,-2.2168579374322035,0.18858095255003,-0.8850191854811665
2021-02-18,0.1596683843778046,0.7094509474866808,0.4401101088702518,-1.7679666930217575,-0.30330236432349666,-3.582583483041486,1.745017778825043,-2.262331946405172,0.14275369608545818,-0.9111109187674602
2021-02-19,0.16622287015153267,0.7684093652862873,0.4733543002211329,-1.754821959244644,-0.23944923499223422,-3.6269498419646,1.6826957152955773,-2.2547529449096775,0.09496735354317293,-0.8906993223442723
2021-02-20,0.15494693276113622,0.7710905243869582,0.46912472428051155,-1.7482495923560872,-0.27137579965786546,-3.6824077906184933,1.6203736517661114,-2.2774899493961613,0.012486012425322733,-0.904182612557825
2021-02-21,0.15841858836162784,0.7864462537817115,0.47865849154732065,-1.7351048585789737,-0.28733908199068103,-3.715682559810829,1.5892126200013785,-2.2850689508916564,-0.05019400271542512,-0.9032052296721679
2021-02-22,0.1410603103591707,0.7632095415758946,0.45822702210125404,-1.7219601248018603,-0.35119221132194356,-3.771140508464722,1.5580515882366455,-2.3115954561258873,-0.10274553845018947,-0.9266842170123166
