"total","strangers","dates"
15.889463302281879,13.33559820105822,2020-08-31
15.804896396186393,13.210382950630855,2020-09-01
15.719180526022571,13.088887347589116,2020-09-02
15.632468568435595,12.971388255999003,2020-09-03
15.544912063649356,12.858127560332402,2020-09-04
15.456660851525147,12.749311113332581,2020-09-05
15.367862712750245,12.645107944747682,2020-09-06
15.278663016091368,12.545649739455031,2020-09-07
15.18920437263629,12.45103059135926,2020-09-08
15.099626297934044,12.361307037192466,2020-09-09
15.010064882929164,12.276498371992947,2020-09-10
14.92065247456433,12.196587245616328,2020-09-11
14.831517366908988,12.121520537155693,2020-09-12
14.742783503647377,12.051210501649333,2020-09-13
14.654570192734152,11.985536180952158,2020-09-14
14.566991833999502,11.924345068174327,2020-09-15
14.480157660457667,11.867455012670126,2020-09-16
14.394171494040911,11.814656350220984,2020-09-17
14.309131516447254,11.76571424082499,2020-09-18
14.22513005575719,11.720371194409164,2020-09-19
14.142253389437048,11.678349762840876,2020-09-20
14.060581564307537,11.639355374864198,2020-09-21
13.980188234017012,11.603079289037542,2020-09-22
13.901140514515603,11.569201638430638,2020-09-23
13.823498857983527,11.537394539763234,2020-09-24
13.74731694562219,11.507325238856883,2020-09-25
13.672641599668925,11.47865926373169,2020-09-26
13.599512714948766,11.451063556428583,2020-09-27
