"family","colleagues","friends","strangers","total","dates"
2.3221928336419277,2.1681562096063693,2.967850226453461,8.635611055677753,16.317510358617255,2020-07-08
2.331408955962372,2.11615730048881,2.9481810974002647,8.675068475478692,16.376266291681162,2020-07-09
2.3402043705556266,2.0648978247183023,2.927723926921427,8.71052870365477,16.430276996356824,2020-07-10
2.348571175484984,2.014842254003035,2.9067760486337297,8.741926955320647,16.47951839644668,2020-07-11
2.3565020843166824,1.9664486401770578,2.8856349245258013,8.769208476529581,16.523974559852498,2020-07-12
2.3639904347525738,1.92016417630938,2.864595118932126,8.792328731550795,16.56363766996409,2020-07-13
2.371030195950065,1.876420849200131,2.8439453185122363,8.811253553584299,16.598507977281056,2020-07-14
2.377615974524167,1.8356312335275196,2.823965431676754,8.825959258131423,16.62859373151415,2020-07-15
2.3837430192301743,1.798184474880749,2.8049237992890284,8.836432718407691,16.653911094472946,2020-07-16
2.389407224329319,1.7644425051979016,2.787074546433262,8.842671402357986,16.67448403410495,2020-07-17
2.3946051316434493,1.734736529857604,2.7706551026279507,8.844683371009253,16.69034420010845,2020-07-18
2.3993339313083477,1.709363820993965,2.7558839151367867,8.842487238074142,16.70153078159647,2020-07-19
2.403591461238996,1.6885848466669044,2.742958377051567,8.836112090897599,16.70809034734222,2020-07-20
2.4073762053234726,1.6726207604744057,2.7320529886604112,8.825597373017505,16.710076669187888,2020-07-21
2.4106872903656233,1.6616512711836666,2.7233177673408853,8.810992728788317,16.70755052924664,2020-07-22
2.413524481799932,1.655812907114218,2.7168769178993157,8.792357810692977,16.70057951157422,2020-07-23
2.4158881782051225,1.6551976854415653,2.712827771983479,8.769762050141447,16.68923777902974,2020-07-24
2.4177794046460956,1.6598521923935956,2.7112400019894443,8.743284392723751,16.673605836085862,2020-07-25
2.4191998048767047,1.6697770765480024,2.71215511182004,8.713012999050074,16.65377027838579,2020-07-26
2.420151632438514,1.684926954142156,2.7155862039856506,8.679044912469596,16.629823529879477,2020-07-27
2.420637740693368,1.7052107224829036,2.721518019904301,8.641485695112227,16.60186356840232,2020-07-28
2.4206615718298887,1.7304922751702123,2.7299072478910063,8.600449033842693,16.569993640587324,2020-07-29
2.4202271448862884,1.7605916108746158,2.740683091243736,8.55605631785349,16.534321967026866,2020-07-30
2.4193390428339074,1.795286325762098,2.7537480870422186,8.508436189751626,16.494961438620848,2020-07-31
2.4180023987676935,1.8343134782488657,2.7689791647741235,8.45772407211272,16.452029305065587,2020-08-01
2.4162228812515054,1.8773718134873492,2.7862289326737417,8.4040616715847,16.40564685645205,2020-08-02
2.4140066788675343,1.9241243337220926,2.805327178676669,8.347596462721409,16.35593909895267,2020-08-03
2.411360484020352,1.9742011992983073,2.82608257212497,8.288481153813073,16.30303442558241,2020-08-04
2.4082914760471814,2.0272029435518335,2.848284551759761,8.226873137055746,16.24706428302388,2020-08-05
2.404807303686699,2.0827039829663163,2.8717053850624183,8.162933925465182,16.188162835505686,2020-08-06
2.4009160669593363,2.140256401780807,2.8961023836026927,8.096828578991405,16.126466626719697,2020-08-07
2.3966262985124156,2.1993939876237447,2.9212202586697393,8.028725122328648,16.062114240756184,2020-08-08
2.3919469444836876,2.2596364917216287,2.9467936010484186,7.958793956941407,15.995245963025155,2020-08-09
2.3868873449366816,2.3204940838000447,2.9725494683160973,7.887207269840226,15.926003442118688,2020-08-10
2.381457213921219,2.381471968013317,2.998210062431683,7.814138441641463,15.854529353552238,2020-08-11
2.375666619211911,2.4420751221906465,3.023495479641384,7.739761456432969,15.78096706630302,2020-08-12
2.369525961776834,2.5018131184907166,3.048126513814741,7.664250315942967,15.705460313040797,2020-08-13
2.3630459550278653,2.5602049793565347,3.071827493243497,7.5877784604725065,15.6281528649205,2020-08-14
2.3562376039030704,2.6167840186291085,3.094329129692249,7.51051819900262,15.549188211778144,2020-08-15
2.349112183830453,2.6711026139953833,3.1153713571064205,7.432640150826803,15.468709248540186,2020-08-16
2.341681219621046,2.7227368538095815,3.1347061358946924,7.354312700987428,15.386857968623548,2020-08-17
2.3339564643378345,2.7712909989311987,3.1521001971616314,7.275701471711631,15.303775165067947,2020-08-18
2.325949878185403,2.816401698756116,3.167337699734051,7.196968811949258,15.219600140104477,2020-08-19
2.3176736074634934,2.85774190024849,3.180222771376344,7.118273307012275,15.134470423825174,2020-08-20
2.309139963625701,2.89502438965583,3.1905819043087935,7.0397693102030185,15.048521502577639,2020-08-21
2.3003614024827193,2.9280049088182145,3.1982661741174327,6.961606498197818,14.961886557665368,2020-08-22
2.2913505035873163,2.95648479163624,3.2031532504670794,6.883929451824169,14.874696214891184,2020-08-23
2.282119949836211,2.9803130713649324,3.2051491677914385,6.806877263733774,14.787078305436953,2020-08-24
2.2726825073217407,2.999388015928673,3.2041898244234446,6.730583174331927,14.699157638525161,2020-08-25
2.2630510054639386,3.0136580563278583,3.20024217952402,6.65517423717597,14.611055786263424,2020-08-26
2.2532383174513875,3.0231220823043916,3.193305118736045,6.580771014903376,14.522890881024903,2020-08-27
2.243257341016802,3.0278290895733346,3.1834099617850686,6.507487306593461,14.434777425670472,2020-08-28
2.2331209795710247,3.027877173889907,3.1706205883044145,6.4354299073075385,14.346826116871487,2020-08-29
2.2228421237167058,3.023411878745213,3.1550331619911045,6.364698400390543,14.259143681744492,2020-08-30
2.212433633160643,3.014623915278781,3.1367754377962487,6.2953849829538715,14.17183272796227,2020-08-31
2.201908319041468,3.001746284750461,3.1160056421800895,6.227574324796129,14.084991607459502,2020-09-01
2.191278926687031,2.9850508453054836,3.092910922466212,6.1613434608542965,13.998714293804667,2020-09-02
2.1805581188137584,2.964844375474028,3.0677053679239483,6.096761717116371,13.91309027326594,2020-09-03
2.1697584591779577,2.941464196562214,3.0406276122905727,6.033890669765784,13.828204449554137,2020-09-04
2.158892396687139,2.9152734245290244,3.0119380348855875,5.972784137170779,13.744137062182814,2020-09-05
2.14797224997734,2.886655928857493,2.9819155851222896,5.913488204177807,13.660963618344981,2020-09-06
2.1370101924606684,2.8560110811099735,2.950854262923632,5.856041278018576,13.578754838164901,2020-09-07
2.1260182378454315,2.8237483791571085,2.919059295125156,5.800474174996022,13.497576613145597,2020-09-08
2.1150082261296563,2.7902820343960544,2.886843055214285,5.74681023697564,13.417489977595649,2020-09-09
2.1039918100672823,2.756025608592729,2.854520780527709,5.695065476576616,13.338551092784382,2020-09-10
2.092980442104937,2.721386784334584,2.8224061471220234,5.6452487498322945,13.260811243540884,2020-09-11
2.081985361785993,2.6867623485602716,2.790806767772808,5.597361954971764,13.184316846982032,2020-09-12
2.071017583617512,2.6525334624007986,2.7600196827775285,5.5514002558659685,13.109109473025645,2020-09-13
2.0600878853947964,2.6190612828377295,2.730326916294135,5.507352328580995,13.035225876318037,2020-09-14
2.0492067969774785,2.5866829927152066,2.7019911727129156,5.465200629390514,12.962698039180776,2020-09-15
2.038384589510499,2.555708285732884,2.675251747936161,5.424921682518107,12.891553225159935,2020-09-16
2.027631265082837,2.526416342515087,2.650320729359384,5.386486385808663,12.821814042740382,2020-09-17
2.0169565468166786,2.4990533230316196,2.6273795557698554,5.349860332467435,12.753498518770526,2020-09-18
2.0063698693794145,2.473830389871328,2.6065760043010324,5.315004146954933,12.686620181128117,2020-09-19
1.995880369911124,2.450922266457426,2.5880216660362456,5.281873833086018,12.621188150143958,2020-09-20
1.9854968793601289,2.430466324539865,2.5717899649058324,5.250421132353224,12.557207238290674,2020-09-21
1.9752279142197926,2.4125621864592315,2.5579147662729778,5.220593890476459,12.494678057634932,2020-09-22
1.9650816686600345,2.3972718199584047,2.546389612184976,5.1923364301746116,12.433597134545753,2020-09-23
1.9550660070477088,2.3846200968807794,2.5371676098437153,5.165589928158561,12.373957031147404,2020-09-24
1.945188456850798,2.374595782032992,2.530161988610275,5.140292794360582,12.31574647300417,2020-09-25
1.9354562019221317,2.3671529148417547,2.5252473290203774,5.116381051440401,12.258950482524272,2020-09-26
1.925876076159403,2.362212544178165,2.5222614550743985,5.093788712644415,12.203550517573099,2020-09-27
1.916454557539271,2.359664775770891,2.5210079687308,5.072448156140926,12.149524614789605,2020-09-28
1.9071977625245133,2.359371091855255,2.521259393318127,5.052290494010112,12.096847537106349,2020-09-29
1.898111440844485,2.3611669039248304,2.5227608807495567,5.033245934132895,12.045490924981902,2020-09-30
1.8892009706502977,2.364864301458583,2.525234426220587,5.015244133297233,11.995423450862251,2020-10-01
1.8804713540476268,2.37025496205226,2.528383523737343,4.998214539923226,11.946610976401198,2020-10-02
1.8719272130113622,2.377113191244061,2.531898186587378,4.982086724898571,11.899016711979804,2020-10-03
1.8635727856876703,2.3851990632476663,2.535460248931036,4.966790699114562,11.852601378080161,2020-10-04
