"total","strangers","dates"
8.493202715059379,5.866760564943817,2020-12-20
8.377091249030684,5.724016708416029,2020-12-21
8.260573083820033,5.583864885458279,2020-12-22
8.143949058249431,5.4471338899775485,2020-12-23
8.027525940183194,5.3145799050126215,2020-12-24
7.911614820289351,5.186880979073126,2020-12-25
7.796529473823768,5.064632919050325,2020-12-26
7.682584701265316,4.94834659048081,2020-12-27
7.570094658769088,4.838446592575652,2020-12-28
7.4593711894381665,4.73527125386962,2020-12-29
7.350722166384175,4.639073874854304,2020-12-30
7.244449858425246,4.55002512687964,2020-12-31
7.140849329066861,4.46821650211985,2021-01-01
7.040206879147602,4.393664697660579,2021-01-02
6.942798543162893,4.326316807872985,2021-01-03
6.848888648874825,4.26605619316906,2021-01-04
6.758728449317568,4.21270888998745,2021-01-05
6.67255483575547,4.166050426261496,2021-01-06
6.590589139548299,4.1258129085887,2021-01-07
6.513036030207991,4.091692251537676,2021-01-08
6.440082516222654,4.063355425859077,2021-01-09
6.37189705448075,4.040447610421676,2021-01-10
6.308628773330205,4.022599142253651,2021-01-11
6.250406813507793,4.009432169754627,2021-01-12
6.197339790323639,4.000566925701884,2021-01-13
6.149515379644796,3.99562754871876,2021-01-14
6.107000029361701,3.9942473941981516,2021-01-15
6.069838797147161,3.996073787926659,2021-01-16
6.038055314475818,4.000772187637033,2021-01-17
6.011651876011907,4.008029729211185,2021-01-18
5.990609652645028,4.017558145086002,2021-01-19
5.974889025649308,4.0290960524244,2021-01-20
5.964430038651813,4.042410617747745,2021-01-21
5.959152963358799,4.057298612890821,2021-01-22
5.958958974271958,4.073586884325625,2021-01-23
5.963730926961119,4.091132264114503,2021-01-24
5.973334233844704,4.109820956038497,2021-01-25
5.987617830858676,4.129567434840347,2021-01-26
6.006415227876049,4.150312900119909,2021-01-27
6.029545635287084,4.172023329322004,2021-01-28
6.056815158750554,4.194687176480545,2021-01-29
6.088018053777835,4.218312765128731,2021-01-30
6.122938031556278,4.242925425029204,2021-01-31
6.161349607179875,4.268564423267747,2021-02-01
6.20301948132757,4.295279740793736,2021-02-02
6.247707946328367,4.323128745772223,2021-02-03
6.29517030753348,4.352172815108149,2021-02-04
6.345158310955084,4.382473955262544,2021-02-05
6.3974215682241615,4.414091472947424,2021-02-06
6.451708970078915,4.447078745495841,2021-02-07
6.507770079807907,4.481480139527092,2021-02-08
6.565356498333771,4.517328125013577,2021-02-09
6.6242231929435125,4.554640629861982,2021-02-10
6.684129782034913,4.593418677674339,2021-02-11
6.744841768650209,4.6336443483308525,2021-02-12
6.806131716025938,4.675279097442821,2021-02-13
6.8677803588654545,4.718262466538828,2021-02-14
6.929577644558184,4.762511211000731,2021-02-15
6.991323699118686,4.807918867347814,2021-02-16
7.0528297131860445,4.854355775449447,2021-02-17
7.113918744012032,4.90166956470595,2021-02-18
7.174426429974296,4.949686106239382,2021-02-19
7.234201614763755,4.9982109258174985,2021-02-20
7.29310687902187,5.047031064653126,2021-02-21
7.351018977825328,5.095917367554248,2021-02-22
7.407829183038459,5.144627170319421,2021-02-23
7.463443530179683,5.192907350849799,2021-02-24
7.517782970044441,5.240497701466991,2021-02-25
7.570783425933149,5.287134573422177,2021-02-26
7.62239575790206,5.332554738817602,2021-02-27
7.672585636021447,5.376499410195571,2021-02-28
7.721333325150954,5.418718354055487,2021-03-01
7.768633384252919,5.458974031650461,2021-03-02
7.814494283747949,5.4970456986003615,2021-03-03
7.858937944851988,5.532733394296368,2021-03-04
7.9019992052602035,5.565861752703495,2021-03-05
7.943725215905649,5.596283568025314,2021-03-06
7.9841747738770135,5.6238830517501635,2021-03-07
8.023417596860359,5.64857872178148,2021-03-08
8.061533544746343,5.670325869579912,2021-03-09
8.09861179425644,5.689118557412853,2021-03-10
8.13474997261812,5.704991104808704,2021-03-11
8.170053256461783,5.718019030967351,2021-03-12
8.20463344219523,5.7283194280737195,2021-03-13
8.238607994181585,5.7360507490574175,2021-03-14
8.272099077040345,5.741412002118729,2021-03-15
8.305232578373438,5.74464135322,2021-03-16
8.338137128151306,5.7460141465510866,2021-03-17
8.370943120878314,5.745840361543986,2021-03-18
8.403781746531067,5.744461533282044,2021-03-19
8.436784036067916,5.742247170974464,2021-03-20
8.470079927109374,5.7395907164203885,2021-03-21
8.503797355147672,5.73690509107546,2021-03-22
8.538061375363474,5.7346178862944175,2021-03-23
8.57299331984019,5.733166256591712,2021-03-24
8.608709994645618,5.732991580209118,2021-03-25
8.645322920892204,5.734533954974193,2021-03-26
8.682937623548082,5.738226600258518,2021-03-27
8.721652971368465,5.744490237871743,2021-03-28
8.761560570947356,5.753727525858025,2021-03-29
8.802744217462234,5.766317619496844,2021-03-30
8.84527940429438,5.782610933218571,2021-03-31
8.889232893275164,5.802924175755727,2021-04-01
8.934662346897614,5.8275357285500275,2021-04-02
8.981616023417596,5.856681434290777,2021-04-03
9.030132535327871,5.8905508584550965,2021-04-04
9.080240671324091,5.929284081854942,2021-04-05
9.131959281429513,5.97296907649435,2021-04-06
9.185297224588739,6.0216397104969035,2021-04-07
9.240253377648733,6.07527442057471,2021-04-08
9.296816704287117,6.133795582410173,2021-04-09
9.354966382091932,6.197069600590826,2021-04-10
9.414671985693577,6.264907730353352,2021-04-11
9.475893723516736,6.3370676334986,2021-04-12
9.53858272545955,6.413255660525223,2021-04-13
9.602681378542037,6.4931298404589555,2021-04-14
9.668123707329194,6.576303549097559,2021-04-15
9.734835795732955,6.662349815724732,2021-04-16
9.802736246622699,6.750806217851273,2021-04-17
9.871736675507858,6.84118030344898,2021-04-18
9.941742234458337,6.932955470689154,2021-04-19
10.01265216229935,7.025597226474677,2021-04-20
10.084360357099762,7.118559737421924,2021-04-21
10.156755966879375,7.211292580405874,2021-04-22
10.229723994508152,7.303247594721039,2021-04-23
10.303145912741677,7.393885734268666,2021-04-24
10.376900285412992,7.482683816276046,2021-04-25
10.450863390863816,7.569141062914272,2021-04-26
10.524909843780923,7.652785333805864,2021-04-27
10.598913211740642,7.733178951024182,2021-04-28
10.672746622898437,7.809924023560574,2021-04-29
10.746283361416586,7.882667185464575,2021-04-30
10.819397447406423,7.95110367084298,2021-05-01
10.891964198365327,8.014980659363996,2021-05-02
10.963860769290998,8.074099837952065,2021-05-03
11.034966668880276,8.128319137394183,2021-05-04
11.105164249471343,8.177553616734986,2021-05-05
11.174339168610576,8.221775483078776,2021-05-06
11.242380820401673,8.26101324956188,2021-05-07
11.309182735033156,8.295350049491708,2021-05-08
11.374642945155049,8.324921139626626,2021-05-09
11.438664318027243,8.349910639985271,2021-05-10
11.501154852638338,8.370547571153052,2021-05-11
11.562027941223748,8.387101262428557,2021-05-12
11.621202594907048,8.399876215179379,2021-05-13
11.678603633388805,8.409206515040509,2021-05-14
11.734161838886502,8.415449894118392,2021-05-15
11.787814074736279,8.418981549784109,2021-05-16
11.839503369286339,8.420187829957403,2021-05-17
11.889178965929148,8.419459895934889,2021-05-18
11.936796340302783,8.417187472753012,2021-05-19
11.982317185869093,8.413752793806543,2021-05-20
12.025709369249165,8.409524841162948,2021-05-21
12.066946856826068,8.404853975728821,2021-05-22
12.106009614269341,8.400067042387986,2021-05-23
12.142883480743599,8.395463024666412,2021-05-24
12.177560019652804,8.391309311544012,2021-05-25
12.210036347858154,8.387838626146483,2021-05-26
12.240314945357591,8.385246652370903,2021-05-27
12.268403447470897,8.383690381402713,2021-05-28
12.294314421587298,8.383287185883491,2021-05-29
12.318065130544714,8.384114615477108,2021-05-30
12.339677284713527,8.386210894029064,2021-05-31
12.359176784818068,8.389576085777396,2021-06-01
12.376593457507347,8.39417388631927,2021-06-02
12.391960785635488,8.39993398355292,2021-06-03
12.405315635131313,8.406754924754816,2021-06-04
12.416697980294265,8.414507418518623,2021-06-05
12.426150629240752,8.423037994484908,2021-06-06
12.433718951145643,8.432172939856011,2021-06-07
12.439450606819234,8.441722429469111,2021-06-08
12.443395284049926,8.451484765813735,2021-06-09
