family,colleagues,friends,strangers,date,total
2.615835149936889,3.414079559135728,3.05040810800393,13.233210054442793,2020-07-14,15.723817855558725
2.6431665274765477,3.340264609815449,3.030864394016186,13.361931955369263,2020-07-15,15.765868756966373
2.6682401060664365,3.274435523204094,3.0126742744638997,13.476583610035757,2020-07-16,15.803065265981052
2.689925270870977,3.217347980348337,2.9960837853331532,13.576330338187265,2020-07-17,15.835458020731284
2.707319078581503,3.1696510870778183,2.9813162427510194,13.660475293451558,2020-07-18,15.863108552776966
2.7197935446317456,3.131879641824863,2.968570301325239,13.728470177103869,2020-07-19,15.886088929455376
2.7270225539245954,3.104448097801647,2.9580183061626037,13.77992372054091,2020-07-20,15.904481358633056
2.7289872183505794,3.08764630364119,2.949804952706491,13.814607752556533,2020-07-21,15.918377757296902
2.72595988237745,3.081637075177359,2.9440462645809933,13.832460711630434,2020-07-22,15.927879285576527
2.7184683963459584,3.086455618617848,2.94082889563827,13.833588511188003,2020-07-23,15.933095847950582
2.7072436749644924,3.102010792639817,2.9402097584364997,13.818262716200095,2020-07-24,15.934145563544568
2.693154837715779,3.128088164618556,2.9422159774767946,13.786916041534251,2020-07-25,15.931154207581164
2.6771372597256704,3.1643547849975637,2.946845161756034,13.740135235057963,2020-07-26,15.924254626191383
2.6601195062355947,3.210365574424809,2.954065987587243,13.678651460518584,2020-07-27,15.91358612693891
2.6429552584664844,3.265571191372269,2.963819079245062,13.60332834557072,2020-07-28,15.8992938475469
2.6263658882101053,3.329327224132907,2.97601817185089,13.515147907894644,2020-07-29,15.881528105447847
2.6108983002298154,3.400904530879642,2.99055153804058,13.41519461609943,2020-07-30,15.860443730900418
2.596901117971896,3.479500535304242,3.0072836573959982,13.304637881050017,2020-07-31,15.836199386532787
2.584520403199148,3.5642512735632064,3.0260571053779604,13.184713306503523,2020-08-01,15.808956876277586
2.5737140989710676,3.6542439810312897,3.046694636593677,13.056703054703451,2020-08-02,15.77888044676029
2.5642825197177,3.7485300047826646,3.0690014356714257,12.921915702203911,2020-08-03,15.746136084287315
2.5559107191561505,3.8461378297090523,3.0927675078040155,12.781665973162092,2020-08-04,15.71089081065298
2.5482176286331852,3.9460860125493302,3.1177701801582853,12.63725474129496,2020-08-05,15.673311981045268
2.5408065711773613,4.047395828515514,3.143776684825551,12.489949687445879,2020-08-06,15.63356658737542
2.5333121147640463,4.149103449211053,3.1705467937975964,12.3409669872377,2020-08-07,15.59182057038823
2.5254391290672786,4.250271487606329,3.197835476581821,12.19145438275677,2020-08-08,15.548238143925403
2.516991174921505,4.349999765335839,3.2253955515020007,12.042475963956942,2020-08-09,15.502981134712714
2.5078867670291083,4.447435178839249,3.252980302451208,11.894998949999955,2020-08-10,15.45620834102334
2.4981633932019314,4.541780563170931,3.280346033848466,11.749882718743844,2020-08-11,15.40807491353284
2.487970275288401,4.632302474950247,3.3072545377840052,11.607870284877693,2020-08-12,15.358731761625638
2.4775516170329412,4.718337838238726,3.3334754487956344,11.469582374759694,2020-08-13,15.308324988335958
2.467222484983396,4.799299418492368,3.3587884633786116,11.335514189937001,2020-08-14,15.256995357013864
2.4573395691315514,4.874680109611946,3.3829854031758027,11.206034892811342,2020-08-15,15.204877792686815
2.4482689814927436,4.944056037067444,3.405872102795713,11.081389788229306,2020-08-16,15.152100920954577
2.440353101789335,5.0070884957925115,3.427270105349591,10.961705115257622,2020-08-17,15.09878664709475
2.433878377819724,5.063524754852128,3.447018151058753,10.846995305377844,2020-08-18,15.045049777879605
2.4290459903989268,5.113197771727474,3.4649734466420803,10.737172508152849,2020-08-19,14.99099768840495
2.4259473868761576,5.156024867531368,3.4810127056329248,10.632058134363614,2020-08-20,14.936730036012076
2.424546794309231,5.192005420763511,3.4950329522719246,10.531396120916112,2020-08-21,14.882338523145702
2.424672818197626,5.2212176416599565,3.506952084163099,10.434867582592307,2020-08-22,14.827906710730556
2.4260209784429874,5.243814492172068,3.516709191442078,10.342106483960857,2020-08-23,14.773509883375272
2.4281684236999976,5.260018818595443,3.524264632774986,10.252715941299265,2020-08-24,14.719214967415159
2.4306010587462032,5.270117765325382,3.529599871055903,10.166284749860646,2020-08-25,14.665080502499265
2.4327519698809477,5.274456539628575,3.5327170741968894,10.08240372669898,2020-08-26,14.611156667101096
2.434048491783675,5.273431599119489,3.533638488866351,10.000681463769276,2020-08-27,14.557485357995796
2.433963758054942,5.267483336187252,3.532405597434367,9.920759100157646,2020-08-28,14.504100323401882
2.4320673925090595,5.257088337198738,3.5290780706822735,9.842323745833525,2020-08-29,14.45102734912649
2.428069396182722,5.2427512990576774,3.523732531028461,9.765120221799261,2020-08-30,14.398284496693112
2.421851467742532,5.224996691643206,3.5164611430750936,9.688960822250905,2020-08-31,14.345882392063682
2.4134810497330466,5.204360261646927,3.5073700501818434,9.613732852461743,2020-09-01,14.29382456320094
2.4032052610618897,5.181380481104237,3.4965776774914508,9.53940375046926,2020-09-02,14.24210782434762
2.3914243468405023,5.156590052057052,3.484212923350464,9.466023660022891,2020-09-03,14.190722704541564
2.378647011825487,5.130507586758285,3.470413262366428,9.39372538523451,2020-09-04,14.139653917527166
2.3654325874923208,5.103629590010369,3.4553227843928087,9.32272172245962,2020-09-05,14.088880869881628
2.3523269917424154,5.076422875927677,3.439090194524785,9.253300230550328,2020-09-06,14.03837820384228
2.3398005195498546,5.049317554919379,3.4218667996938756,9.185815565147896,2020-09-07,13.98811637100684
2.328195435044703,5.022700727304823,3.403804507662313,9.12067956453261,2020-09-08,13.938062232782606
2.317690087629962,4.996911017071213,3.3850538641166787,9.058349332177706,2020-09-09,13.888179683189437
2.3082840132171945,4.97223407232487,3.365762153141241,8.999313613105352,2020-09-10,13.838430289371015
2.299805550652872,4.948899147596854,3.346071585606163,8.944077806103625,2020-09-11,13.788773944955054
2.2919403684334725,4.927076867118314,3.3261175989307814,8.893147990673658,2020-09-12,13.739169531210795
2.284276463876035,4.906878247491606,3.3060272902854133,8.847014375285369,2020-09-13,13.689575580802428
2.276359121600671,4.888355033054249,3.2859180035774274,8.80613459139507,2020-09-14,13.639950938817996
2.267748322461213,4.871501368126257,3.2658960885493054,8.770917265231017,2020-09-15,13.590255415674672
2.2580713071576595,4.85625679791578,3.2460558480087123,8.741706296359204,2020-09-16,13.54045042646582
2.2470643341996173,4.84251055502776,3.226478686643941,8.71876625853227,2020-09-17,13.49049961131417
2.2345998454119567,4.830107052348669,3.20723247207657,8.70226931461076,2020-09-18,13.440369431349293
2.2206978374043453,4.818852466791835,3.1883711158040775,8.69228400397338,2020-09-19,13.390029735014307
2.205522748102117,4.8085222633084665,3.169934378524687,8.688766218621298,2020-09-20,13.339454289546723
2.1893691502591084,4.798869476073374,3.15194790106226,8.69155263413855,2020-09-21,13.28862127266067
2.1726406635312783,4.78963353520679,3.134423458762991,8.700356805023816,2020-09-22,13.237513719684905
2.1558265969233523,4.780549404086295,3.117359433871373,8.714768072044167,2020-09-23,13.186119921683863
