"dates","total","strangers"
2020-08-28,21.06506145930022,17.851974407256584
2020-08-29,16.3713924785685,12.798482426557008
2020-08-30,16.815861808382156,12.574997924610772
2020-08-31,15.057229472843908,10.053231443506506
2020-09-01,12.873578210892747,8.244264070047997
2020-09-02,13.76164502708248,7.730197856161463
2020-09-03,18.001370430939133,13.930466357774094
2020-09-04,17.92116292291079,13.73944915601369
2020-09-05,14.95123864732555,9.528359215577265
2020-09-06,13.986335635015026,9.907723281918047
2020-09-07,12.11289671888292,6.626176428974382
2020-09-08,11.764297570503421,6.813413470841632
2020-09-09,15.231802333631215,11.66760329299865
2020-09-10,14.640239954681713,10.413943630571353
2020-09-11,11.687345063996652,6.792167687704384
2020-09-12,15.724849542274471,11.874295407926924
2020-09-13,12.50869725020015,7.771852462999576
2020-09-14,14.928056712036373,10.645489306331696
2020-09-15,11.228237526111506,6.631143366679072
2020-09-16,13.370853777052234,8.469672547366324
2020-09-17,11.554977248792014,6.884104290744462
2020-09-18,12.974543039069244,8.5557675689474
2020-09-19,13.339492414400645,8.905912297949309
2020-09-20,10.379942770934367,5.88519667780472
2020-09-21,11.52006230834113,7.597466015115873
2020-09-22,10.882696610158494,6.09161192144695
2020-09-23,12.584723163486636,7.892267567901752
2020-09-24,11.028042245430239,6.656507530694556
2020-09-25,12.35883516516069,8.640222044913044
2020-09-26,13.603116619605574,9.444998377115684
2020-09-27,13.659204886112352,9.739048608626547
2020-09-28,10.125090354204143,5.474005394048641
2020-09-29,10.947313280829286,5.918475884156582
2020-09-30,14.261096066941146,11.272808607293161
2020-10-01,13.534875227340203,8.486324644191109
2020-10-02,13.924476430427589,9.618275999820897
2020-10-03,15.984210881112046,12.724041859023062
2020-10-04,14.077418742998825,10.87933936248252
2020-10-05,10.62906648703581,5.9819917028565115
2020-10-06,15.096191047017268,12.191910072079246
2020-10-07,16.734488708695157,13.316724504154005
2020-10-08,14.819283402855433,10.455481287457465
2020-10-09,11.452732003332278,6.686369872990013
2020-10-10,14.270964923290224,10.457927380156134
2020-10-11,13.129294862064368,8.791147658278875
2020-10-12,11.43797109406566,7.609719426040564
2020-10-13,14.52192519344626,11.754279731301347
2020-10-14,11.286741599471965,7.349702724370866
2020-10-15,13.18511935191577,11.007512950074233
2020-10-16,12.143984764057931,8.980203402357482
2020-10-17,12.822444497777292,9.339841637725359
2020-10-18,11.161895424258457,7.461428002029772
2020-10-19,13.09430096933813,9.130955846407742
2020-10-20,11.86387534152236,7.180433766872084
2020-10-21,13.226422720473069,8.126636749002285
2020-10-22,10.51014593516469,6.1334828597383515
2020-10-23,11.022790943835867,7.147498834740567
2020-10-24,12.322926332819499,8.275033161912374
2020-10-25,12.152275289296277,8.481307288933461
2020-10-26,10.827845165800651,7.710640692997587
2020-10-27,9.55388973150479,5.663806408746977
2020-10-28,13.167146963609861,9.415857520070583
2020-10-29,10.187580085661276,5.872489476158078
2020-10-30,9.925684580292788,4.373345749820711
2020-10-31,12.007736077653774,8.460039519217865
2020-11-01,10.292085997108426,6.842878851758496
2020-11-02,8.20837459188514,4.199777356128336
2020-11-03,8.71467199995965,4.9017900586477605
2020-11-04,14.021156785305797,11.319501892542633
2020-11-05,11.9711219634033,8.658962108124308
2020-11-06,9.308875047866922,4.5965712227254105
2020-11-07,10.561052659348233,6.214707147554705
2020-11-08,8.428687194915353,5.009879160091086
2020-11-09,8.841724642710261,5.476431248513087
2020-11-10,9.08913172778757,4.728374899406302
2020-11-11,9.933367343892737,5.390826559063151
2020-11-12,9.170735931130324,4.271832802364598
2020-11-13,15.161280440851929,11.001868426265077
2020-11-14,10.664802134789017,6.522014131419424
2020-11-15,9.925533793963456,6.993744701204542
2020-11-16,10.146364266755494,6.117842750084965
