date,cases,deaths,cases_smoothed,deaths_smoothed,population,cases_per_100000,deaths_per_100000,vaccinated,fraction_vaccinated,week,region
2021-04-20,7538,26,5315.142857142857,19.142857142857142,10230185,51.9554910995535,0.1871213193393584,2004380,0.1959280306270121,68,Sweden
2021-04-21,7706,24,5255.714285714285,18.142857142857142,10230185,51.37457715294773,0.17734632504551132,2004380,0.1959280306270121,68,Sweden
2021-04-22,6250,16,5147.428571428572,18.714285714285715,10230185,50.31608491369972,0.18293203607056682,2004380,0.1959280306270121,68,Sweden
2021-04-23,5501,17,5198.285714285715,18.142857142857142,10230185,50.81321319492965,0.17734632504551132,2004380,0.1959280306270121,68,Sweden
2021-04-24,4568,13,5159.571428571428,17.714285714285715,10230185,50.43478127298214,0.17315704177671973,2004380,0.1959280306270121,69,Sweden
2021-04-25,1756,20,5079.285714285715,17.285714285714285,10230185,49.64998887396185,0.1689677585079281,2407356,0.23531891163258534,69,Sweden
2021-04-26,3069,11,5033.714285714285,17.714285714285715,10230185,49.204528419713675,0.17315704177671973,2407356,0.23531891163258534,69,Sweden
2021-04-27,7267,23,5022.714285714285,17.571428571428573,10230185,49.097003482481355,0.17176061402045587,2407356,0.23531891163258534,69,Sweden
2021-04-28,7144,21,5049.142857142857,17.428571428571427,10230185,49.35534261739017,0.17036418626419195,2407356,0.23531891163258534,69,Sweden
2021-04-29,5931,19,5043.714285714285,16.285714285714285,10230185,49.30227836265215,0.15919276421408102,2407356,0.23531891163258534,69,Sweden
2021-04-30,5424,16,5043.714285714285,17.285714285714285,10230185,49.30227836265215,0.1689677585079281,2407356,0.23531891163258534,69,Sweden
2021-05-01,4753,12,5010.571428571428,15.857142857142858,10230185,48.97830712319893,0.15500348094528943,2407356,0.23531891163258534,70,Sweden
2021-05-02,1718,12,4916.0,15.142857142857142,10230185,48.05387194855225,0.1480213421639701,2780265,0.27177074510382754,70,Sweden
2021-05-03,3069,18,4885.285714285715,13.857142857142858,10230185,47.753639980955526,0.13545349235759527,2780265,0.27177074510382754,70,Sweden
2021-05-04,7035,13,4859.714285714285,13.428571428571429,10230185,47.50367941258428,0.13126420908880368,2780265,0.27177074510382754,70,Sweden
2021-05-05,6482,16,4820.142857142857,14.428571428571429,10230185,47.116868924099194,0.14103920338265075,2780265,0.27177074510382754,70,Sweden
2021-05-06,5716,10,4811.428571428572,15.0,10230185,47.0316868309671,0.14662491440770622,2780265,0.27177074510382754,70,Sweden
2021-05-07,5245,13,4724.571428571428,15.571428571428571,10230185,46.18265875515866,0.1522106254327617,2780265,0.27177074510382754,70,Sweden
2021-05-08,4476,19,4621.285714285715,15.142857142857142,10230185,45.17304148737989,0.1480213421639701,2780265,0.27177074510382754,71,Sweden
2021-05-09,1657,16,4448.0,14.428571428571429,10230185,43.47917461903182,0.14103920338265075,3123421,0.3053142245228214,71,Sweden
2021-05-10,2461,22,4191.142857142857,15.714285714285714,10230185,40.96839751326937,0.15360705318902554,3123421,0.3053142245228214,71,Sweden
2021-05-11,6312,10,3810.285714285714,17.285714285714285,10230185,37.245521115069906,0.1689677585079281,3123421,0.3053142245228214,71,Sweden
2021-05-12,5269,11,3737.8571428571427,16.285714285714285,10230185,36.53753224264412,0.15919276421408102,3123421,0.3053142245228214,71,Sweden
2021-05-13,3918,19,3702.285714285714,15.857142857142858,10230185,36.18982173133442,0.15500348094528943,3123421,0.3053142245228214,71,Sweden
2021-05-14,2579,24,3651.4285714285716,14.0,10230185,35.692693450104485,0.13684992011385913,3123421,0.3053142245228214,71,Sweden
2021-05-15,3969,12,3412.8571428571427,13.857142857142858,10230185,33.36065909714382,0.13545349235759527,3123421,0.3053142245228214,72,Sweden
2021-05-16,1408,13,3147.285714285714,13.285714285714286,10230185,30.764699898249294,0.1298677813325398,3402181,0.3325629986163496,72,Sweden
2021-05-17,2105,9,3039.8571428571427,12.285714285714286,10230185,29.71458622553886,0.12009278703869271,3402181,0.3325629986163496,72,Sweden
